INDEP,DEP
5.57,2262.50
5.58,2274.95
5.59,2287.45
5.60,2300.00
5.61,2309.66
5.62,2319.34
5.63,2329.05
5.64,2338.78
5.65,2348.54
5.66,2358.31
5.67,2368.11
5.68,2377.94
5.69,2387.79
5.70,2397.66
5.71,2407.55
5.72,2417.47
5.73,2427.41
5.74,2437.37
5.75,2447.36
5.76,2457.37
5.77,2467.41
5.78,2477.46
5.79,2487.55
5.80,2497.65
5.81,2507.78
5.82,2517.93
5.83,2528.11
5.84,2538.31
5.85,2548.53
5.86,2558.78
5.87,2569.05
5.88,2579.34
5.89,2589.66
5.90,2600.00
5.91,2609.91
5.92,2619.83
5.93,2629.78
5.94,2639.75
5.95,2649.74
5.96,2659.75
5.97,2669.78
5.98,2679.83
5.99,2689.91
6.00,2700.00
6.01,2711.97
6.02,2723.98
6.03,2736.01
6.04,2748.09
6.05,2760.19
6.06,2772.33
6.07,2784.50
6.08,2796.70
6.09,2808.94
6.10,2821.21
6.11,2833.51
6.12,2845.85
6.13,2858.22
6.14,2870.62
6.15,2883.06
6.16,2895.53
6.17,2908.04
6.18,2920.58
6.19,2933.15
6.20,2945.75
6.21,2958.39
6.22,2971.07
6.23,2983.77
6.24,2996.51
6.25,3009.29
6.26,3022.10
6.27,3034.94
6.28,3047.82
6.29,3060.73
6.30,3073.67
6.31,3086.65
6.32,3099.66
6.33,3112.71
6.34,3125.79
6.35,3138.91
6.36,3152.06
6.37,3165.24
6.38,3178.46
6.39,3191.71
6.40,3205.00
6.41,3216.88
6.42,3228.78
6.43,3240.71
6.44,3252.66
6.45,3264.64
6.46,3276.64
6.47,3288.67
6.48,3300.72
6.49,3312.80
6.50,3324.91
6.51,3337.04
6.52,3349.19
6.53,3361.38
6.54,3373.58
6.55,3385.82
6.56,3398.08
6.57,3410.36
6.58,3422.67
6.59,3435.01
6.60,3447.37
6.61,3459.75
6.62,3472.17
6.63,3484.60
6.64,3497.07
6.65,3509.56
6.66,3522.07
6.67,3534.61
6.68,3547.18
6.69,3559.77
6.70,3572.39
6.71,3585.04
6.72,3597.71
6.73,3610.40
6.74,3623.13
