INDEP,DEP
10.15,3848.89
10.16,3857.96
10.17,3867.05
10.18,3876.15
10.19,3885.27
10.20,3894.39
10.21,3903.53
10.22,3912.68
10.23,3921.84
10.24,3931.02
10.25,3940.21
10.26,3949.41
10.27,3958.62
10.28,3967.85
10.29,3977.09
10.30,3986.34
10.31,3995.60
10.32,4004.88
10.33,4014.17
10.34,4023.47
10.35,4032.78
10.36,4042.11
10.37,4051.44
10.38,4060.79
10.39,4070.16
10.40,4079.53
10.41,4088.92
10.42,4098.32
10.43,4107.74
10.44,4117.16
10.45,4126.60
10.46,4136.06
10.47,4145.52
10.48,4155.00
10.49,4164.49
10.50,4173.99
10.51,4183.50
10.52,4193.03
10.53,4202.57
10.54,4212.12
10.55,4221.69
10.56,4231.26
10.57,4240.85
10.58,4250.46
10.59,4260.07
10.60,4269.70
10.61,4279.34
10.62,4288.99
10.63,4298.66
10.64,4308.34
10.65,4318.03
10.66,4327.74
10.67,4337.45
10.68,4347.18
10.69,4356.92
10.70,4366.68
10.71,4376.45
10.72,4386.23
10.73,4396.02
10.74,4405.83
10.75,4415.64
10.76,4425.47
10.77,4435.32
10.78,4445.18
10.79,4455.04
10.80,4464.93
10.81,4474.82
10.82,4484.73
10.83,4494.65
10.84,4504.58
10.85,4514.53
10.86,4524.49
10.87,4534.46
10.88,4544.44
10.89,4554.44
10.90,4564.45
10.91,4574.47
10.92,4584.51
10.93,4594.55
10.94,4604.62
10.95,4614.69
10.96,4624.78
10.97,4634.88
10.98,4644.99
10.99,4655.11
11.00,4665.25
11.01,4676.31
11.02,4687.38
11.03,4698.47
11.04,4709.57
11.05,4720.69
11.06,4731.83
11.07,4742.99
11.08,4754.16
11.09,4765.34
11.10,4776.54
11.11,4787.76
11.12,4799.00
11.13,4810.25
11.14,4821.51
11.15,4832.80
11.16,4844.10
11.17,4855.41
11.18,4866.74
11.19,4878.09
11.20,4889.46
11.21,4900.84
11.22,4912.24
11.23,4923.65
11.24,4935.08
11.25,4946.53
11.26,4957.99
11.27,4969.47
11.28,4980.96
11.29,4992.47
11.30,5004.00
11.31,5015.55
11.32,5027.11
11.33,5038.68
11.34,5050.28
11.35,5061.89
11.36,5073.51
11.37,5085.16
11.38,5096.82
11.39,5108.49
11.40,5120.18
11.41,5131.89
11.42,5143.62
11.43,5155.36
11.44,5167.12
11.45,5178.89
11.46,5190.68
11.47,5202.49
11.48,5214.32
11.49,5226.16
11.50,5238.02
11.51,5249.89
11.52,5261.78
11.53,5273.69
11.54,5285.61
11.55,5297.55
11.56,5309.51
11.57,5321.48
11.58,5333.47
11.59,5345.48
11.60,5357.50
11.61,5369.54
11.62,5381.60
11.63,5393.67
11.64,5405.76
11.65,5417.87
11.66,5429.99
11.67,5442.13
11.68,5454.29
11.69,5466.46
11.70,5478.65
11.71,5490.86
11.72,5503.08
11.73,5515.32
11.74,5527.58
11.75,5539.86
11.76,5552.15
11.77,5564.45
11.78,5576.78
11.79,5589.12
11.80,5601.48
11.81,5613.85
11.82,5626.24
11.83,5638.65
11.84,5651.08
11.85,5663.52
11.86,5675.98
11.87,5688.46
11.88,5700.95
11.89,5713.46
11.90,5725.98
11.91,5738.53
11.92,5751.09
11.93,5763.67
11.94,5776.26
11.95,5788.87
11.96,5801.50
11.97,5814.14
11.98,5826.81
11.99,5839.49
12.00,5852.18
12.01,5864.90
12.02,5877.63
12.03,5890.37
12.04,5903.14
12.05,5915.92
12.06,5928.72
12.07,5941.53
12.08,5954.36
12.09,5967.21
12.10,5980.08
12.11,5992.96
12.12,6005.86
12.13,6018.78
12.14,6031.72
12.15,6044.67
12.16,6057.64
12.17,6070.62
12.18,6083.63
12.19,6096.65
12.20,6109.68
12.21,6122.74
12.22,6135.81
12.23,6148.90
12.24,6163.42
12.25,6177.97
12.26,6192.53
12.27,6207.12
12.28,6221.74
12.29,6236.37
12.30,6251.03
12.31,6265.71
12.32,6280.41
12.33,6295.14
12.34,6309.88
12.35,6324.65
12.36,6339.44
12.37,6354.26
12.38,6369.10
12.39,6383.96
12.40,6398.84
12.41,6413.75
12.42,6428.67
12.43,6443.62
12.44,6458.60
12.45,6473.59
12.46,6488.61
12.47,6503.66
12.48,6518.72
12.49,6533.81
12.50,6548.92
12.51,6564.05
12.52,6579.21
12.53,6594.38
12.54,6609.59
12.55,6624.81
